,Unnamed: 0,url,input_text,Entity1,Relationship,Entity2,Qualifiers,Entity1_cleaned,Entity2_cleaned,Qualifiers_cleaned
0,1,https://www.omnia.fi/en/about-omnia/sustainable-future,We are the first educational institution in Finland awarded the certificate whose operations include lifelong learning.,['We'],instance of,['certificate'],,We,certificate,
1,0,https://www.omnia.fi/en/about-omnia/safety-omnia/emergency-and-accident-response," In case of an accident, fill the accident notice form and the safety deviation notice (Forms)(in Finnish).","['safety', 'deviation', 'notice']",subclass of,"['accident', 'notice']","['of', ['Finnish).']]",safety  deviation  notice,accident  notice,of  Finnish).
2,0,https://www.omnia.fi/en/about-omnia/sustainable-future,We are the first educational institution in Finland awarded the certificate whose operations include lifelong learning.,['We'],instance of,['certificate'],"['of', ['Finland']]",We,certificate,of  Finland
3,0,https://www.omnia.fi/en/study-options-omnia," Omnia, the Joint Authority of Education in the Espoo region Telephone exchange 09231999 Office hours during week 8–16 Counseling and guidance services for applicants or students InfoOmnia Kirkkokatu 16 B, Espoon keskus Upseerinkatu 1-3, Leppävaara Itätuulenpiha 1, Tapiola",['InfoOmnia'],headquarters location,['Tapiola'],"['located in the administrative territorial entity', ['Espoo']]",InfoOmnia,Tapiola,located in the administrative territorial entity  Espoo
4,0,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications/apprenticeship,It is also a practical way to develop one’s own or the work community’s professional skills.,['It'],subclass of,['professional'],"['of', ['work', 'community’s']]",It,professional,of  work  community’s
5,0,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications/personalisation-vocational-education-and-training,The acquisition of skills is always planned unit-specifically.,"['acquisition', 'of']",instance of,[],"['of', ['is']]",acquisition  of,,of  is
6,0,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications/personalisation-vocational-education-and-training,Your competence is assessed by a teacher and a representative from working life.,['Your'],subclass of,['teacher'],"['of', ['working', 'life.']]",Your,teacher,of  working  life.
7,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/enrolment-and-cancellation-conditions-adult-dducation-centre-courses,You must register and log in to Ilmonet in order to enrol on courses.,['You'],educated at,['Ilmonet'],"['subject has role', ['register']]",You,Ilmonet,subject has role  register
8,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/enrolment-and-cancellation-conditions-adult-dducation-centre-courses,You can also log in with your online banking credentials or mobile ID.,['You'],instance of,['banking'],"['of', ['mobile']]",You,banking,of  mobile
9,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/enrolment-and-cancellation-conditions-adult-dducation-centre-courses,"If necessary, the format of the course can be changed to classroom, online or multiform instruction.",['If'],instance of,"['can', 'be']","['of', ['course']]",If,can  be,of  course
10,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/enrolment-and-cancellation-conditions-adult-dducation-centre-courses,"As a student, you are responsible for keeping the contact information you provide to us up-to-date.",['information'],subclass of,"['student,']","['of', ['us']]",information,student ,of  us
11,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/studying-espoo-adult-education-centre,"links) you can contact Espoo Adult Education Centre customer service, tel.","['Adult', 'Education', 'Centre']",headquarters location,['Espoo'],"['country', ['tel.']]",Adult  Education  Centre,Espoo,country  tel.
12,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/studying-espoo-adult-education-centre,"You will be informed of your successful pass, and you can find your pass entry on Oma Opintopolku online service.","['your', 'successful', 'pass,']",instance of,['Oma'],"['of', []]",your  successful  pass ,Oma,of  
13,0,https://www.omnia.fi/en/study-options/espoo-adult-education-centre/studying-espoo-adult-education-centre,"It depends on the course content how much independent work is required, in addition to contact studying, to reach the learning outcomes.",['on'],subclass of,"['required,', 'in']","['of', ['to', 'reach']]",on,required   in,of  to  reach
14,0,https://www.omnia.fi/en/development-and-cooperation/internationality-omnia,Omnia has been a part of the network since 2013.,['Omnia'],part of,['network'],"['start time', ['2013.']]",Omnia,network,start time  2013.
