,Unnamed: 0,url,input_text,Entity1,Relationship,Entity2,Qualifiers,Entity2_cleaned,Qualifiers_cleaned,Entity1_cleaned
0,1,https://www.omnia.fi/en/about-omnia/sustainable-future,We are the first educational institution in Finland awarded the certificate whose operations include lifelong learning.,['We'],instance of,['certificate'],,certificate,,We
1,0,https://www.omnia.fi/en/about-omnia/safety-omnia/emergency-and-accident-response," In case of an accident, fill the accident notice form and the safety deviation notice (Forms)(in Finnish).","['safety', 'deviation', 'notice']",subclass of,"['accident', 'notice']","['of', ['Finnish).']]",accident  notice,of  Finnish).,safety  deviation  notice
2,0,https://www.omnia.fi/en/about-omnia/sustainable-future,We are the first educational institution in Finland awarded the certificate whose operations include lifelong learning.,['We'],instance of,['certificate'],"['of', ['Finland']]",certificate,of  Finland,We
3,0,https://migri.fi/en/faq-residence-permits,"You may be granted a residence permit, if you have a valid passport.",['You'],instance of,"['residence', 'permit,']","['of', ['passport.']]",residence  permit ,of  passport.,You
4,0,https://migri.fi/en/faq-residence-permits,"Yes, you are allowed to stay a maximum of 90 days at a time in the Schengen area using a residence permit granted by Finland, including before you enter Finland for the first time.","['Schengen', 'area']",instance of,"['residence', 'permit']","['of', ['Finland,']]",residence  permit,of  Finland ,Schengen  area
5,0,https://migri.fi/en/faq-residence-permits,"If you submit your residence permit application abroad at a Finnish mission, it will be processed as a new application for a first residence permit.","['residence', 'permit']",subclass of,"['residence', 'permit.']","['of', ['Finnish']]",residence  permit.,of  Finnish,residence  permit
6,0,https://migri.fi/en/faq-residence-permits,"Certificates issued by authorities of countries other than Finland, Sweden, Norway, Denmark or Iceland must be legalised.",['Certificates'],subclass of,"['Norway,']","['quantity', []]",Norway ,quantity  ,Certificates
7,0,https://migri.fi/en/faq-residence-permits,See our work in Finland page for a table of all old legal provisions regarding the right to work.,"['our', 'work']",instance of,['provisions'],"['of', ['Finland']]",provisions,of  Finland,our  work
8,0,https://migri.fi/en/faq-residence-permits,"If the register checks that are part of the automatic post-decision monitoring suggest that the grounds for your permit should be inspected more closely, the matter will be moved to a Finnish Immigration Service official for processing and closer examination.",['If'],headquarters location,['automatic'],"['of', ['the']]",automatic,of  the,If
9,0,https://migri.fi/en/faq-residence-permits,We have carried out post-decision monitoring since 2017.,['We'],significant event,['monitoring'],"['point in time', ['2017.']]",monitoring,point in time  2017.,We
10,0,https://migri.fi/en/faq-residence-permit-card,"Please, find the answer on the page residence permit card.","['Please,']",instance of,"['residence', 'permit']","['of', ['page']]",residence  permit,of  page,Please 
11,0,https://migri.fi/en/faq-family,A cohabiting partner may apply for a residence permit on the basis of family ties on certain conditions.,"['cohabiting', 'partner']",subclass of,"['residence', 'permit']","['of', ['family', 'ties']]",residence  permit,of  family  ties,cohabiting  partner
12,0,https://migri.fi/en/faq-family,"In some cases a residence permit may be granted on the basis of, for example, cohabitation, if the foreigner is coming to Finland to marry.","['cohabitation,']",subclass of,"['residence', 'permit']","['of', ['Finland']]",residence  permit,of  Finland,cohabitation 
13,0,https://migri.fi/en/faq-family,Residence permits are primarily intended to be granted on the above grounds if an elderly parent moves to Finland at the same time as his or her adult child.,['permits'],subclass of,['Residence'],"['of', ['Finland']]",Residence,of  Finland,permits
14,0,https://migri.fi/en/faq-employment,All Finnish residence permits entitle you to study in Finland.,['Finnish'],subclass of,"['residence', 'permits']","['of', ['Finland.']]",residence  permits,of  Finland.,Finnish
15,0,https://migri.fi/en/faq-employment,"If you are entering Finland for an assignment lasting more than 90 days, you must apply for a residence permit which is granted separately for lecturing.",['lecturing.'],subclass of,"['residence', 'permit']","['of', ['Finland']]",residence  permit,of  Finland,lecturing.
16,0,https://migri.fi/en/faq-employment,"If the company does not require you to reside in Finland, you cannot be granted a residence permit on the basis of work.",['permit'],subclass of,['residence'],"['of', ['Finland,']]",residence,of  Finland ,permit
17,0,https://migri.fi/en/faq-fast-track,It is not possible to apply for an extended permit using the fast-track service.,['It'],instance of,"['extended', 'permit']","['of', ['fast-track']]",extended  permit,of  fast-track,It
18,0,https://migri.fi/en/faq-fast-track,You must have a residence permit in order to work in Finland.,['You'],instance of,"['residence', 'permit']","['of', ['Finland.']]",residence  permit,of  Finland.,You
