,Unnamed: 0,url,input_text,Entity1,Relationship,Entity2,Qualifiers,Entity1_cleaned,Entity2_cleaned,Qualifiers_cleaned
0,0,https://www.omnia.fi/en/about-omnia/sustainable-future,We are the first educational institution in Finland awarded the certificate whose operations include lifelong learning.,['We'],instance of,['certificate'],"['of', ['Finland']]",We,certificate,of  Finland
1,0,https://migri.fi/en/our-name-and-translations,"It originates in the Latin root word migro (‘to move’) which is still found in many languages, e.g.",['migro'],subclass of,['root'],"['of', ['Latin']]",migro,root,of  Latin
2,0,https://migri.fi/en/press-release,"You can apply for a new card as of 17 February 2024, but you do not need to hurry with the application.",['You'],instance of,['card'],"['start time', ['17']]",You,card,start time  17
3,0,https://migri.fi/en/press-release,The fastest way to receive a new residence permit card is to use our online service Enter Finland to apply for a new card.,['card'],subclass of,['residence'],"['of', ['Finland']]",card,residence,of  Finland
4,0,https://migri.fi/en/press-release,"However, with a new residence permit card you can always prove with certainty that you have a valid residence permit and right to work and reside in Finland.","['residence', 'permit', 'card']",subclass of,"['residence', 'permit']","['of', ['Finland.']]",residence  permit  card,residence  permit,of  Finland.
5,0,https://migri.fi/en/communications,EUAA’s website also contains statistics and analyses about EU asylum matters.,['EUAA’s'],headquarters location,['asylum'],"['of', ['EU']]",EUAA’s,asylum,of  EU
6,0,https://migri.fi/en/information-on-individual-cases,"For example, simply the knowledge that a person has applied for asylum in Finland may endanger his or her safety and the safety his or her relatives.",['For'],significant event,['that'],"['point in time', ['person']]",For,that,point in time  person
7,0,https://migri.fi/en/interviewing-and-filming-of-customers,The Finnish Immigration Service is unfortunately unable to help the media in finding immigrants who are willing to be interviewed.,['media'],subclass of,['Immigration'],"['of', ['who']]",media,Immigration,of  who
8,0,https://migri.fi/en/application-processing-stages,The application is put in the processing queue of the Finnish Immigration Service.,['is'],part of,"['in', 'the']","['quantity', ['Finnish']]",is,in  the,quantity  Finnish
9,0,https://migri.fi/en/application-processing-stages,"If you have applied for a residence permit, EU registration or citizenship, you can follow the processing of your application with the help of our chatbot Kamu.","['chatbot', 'Kamu.']",instance of,"['residence', 'permit,']","['of', ['EU']]",chatbot  Kamu.,residence  permit ,of  EU
10,0,https://migri.fi/en/application-processing-stages,Asylum seekers hear an estimate on their processing times during the asylum interview.,"['seekers', 'hear']",subclass of,"['processing', 'times']","['of', []]",seekers  hear,processing  times,of  
11,0,https://migri.fi/en/application-processing-stages,An applicant may cancel his or her application at any time during its processing.,[],subclass of,"['his', 'or']","['of', []]",,his  or,of  
12,0,https://migri.fi/en/processing-times,When do we start counting the expected processing time?,['do'],subclass of,['When'],"['of', []]",do,When,of  
13,0,https://migri.fi/en/expedited-processing1,"In order to process all applications as fast as possible, we can rarely speed up the processing of an application.","['applications', 'as', 'fast']",headquarters location,['all'],"['country', ['we']]",applications  as  fast,all,country  we
14,0,https://migri.fi/en/processing-fees-and-payment-methods,First residence permit for an entrepreneur,['First'],instance of,[],"['of', []]",First,,of  
15,0,https://migri.fi/en/processing-fees-and-payment-methods,The fees charged by the Finnish Immigration Service are laid down in the Ministry of the Interior Decree 1042/2022 (in Finnish).,"['Finnish', 'Immigration', 'Service']",instance of,['Interior'],"['of', ['Finnish).']]",Finnish  Immigration  Service,Interior,of  Finnish).
16,0,https://migri.fi/en/processing-fees-and-payment-methods,The processing fee is returned if the applicant is granted a residence permit as a victim of human trafficking.,['fee'],subclass of,"['residence', 'permit']","['of', ['human', 'trafficking.']]",fee,residence  permit,of  human  trafficking.
17,0,https://migri.fi/en/automated-messages,"If you have not entered your email address, you will not receive messages about the processing stage of your application.",['If'],part of,"['address,']","['start time', ['will']]",If,address ,start time  will
18,0,https://migri.fi/en/automated-messages,"For reasons of data protection, all messages will not be sent to you, if",['reasons'],headquarters location,['be'],"['of', []]",reasons,be,of  
19,0,https://migri.fi/en/notify-us-of-changes,"If you live in Finland and your address changes, submit a notification of move to the Digital and Population Data Services Agency.",['Finland'],instance of,"['notification', 'of', 'move']","['country', []]",Finland,notification  of  move,country  
20,0,https://migri.fi/en/notify-us-of-changes,Do I have to notify of name change?,[],instance of,['notify'],"['of', []]",,notify,of  
21,0,https://migri.fi/en/notify-us-of-changes,Supplementing the application means that the co-applicant fills in the citizenship application form KAN 1.,['co-applicant'],instance of,[],"['of', ['fills']]",co-applicant,,of  fills
22,0,https://migri.fi/en/changing-the-grounds-for-an-application,"The most common grounds for getting a residence permit are work, studies and family ties.",['The'],instance of,"['residence', 'permit']","['of', ['family']]",The,residence  permit,of  family
23,0,https://migri.fi/en/changing-the-grounds-for-an-application,"The most common grounds for getting a residence permit are work, studies and family ties.",['The'],instance of,[],"['of', ['family']]",The,,of  family
24,0,https://migri.fi/en/requests-and-certificates,The Finnish Immigration Service can only give certificates on matters that it is processing or on which it has made a decision.,['Finnish'],significant event,"['can', 'only']","['start time', ['that', 'it', 'is']]",Finnish,can  only,start time  that  it  is
25,0,https://migri.fi/en/document-and-information-requests,"Alternatively, you can ask us to send you copies of the documents.",[],subclass of,[],"['of', []]",,,of  
26,0,https://migri.fi/en/document-and-information-requests,"Alternatively, you can ask us to send you copies of the documents.",[],subclass of,[],"['of', []]",,,of  
27,0,https://migri.fi/en/certificate-requests,You can access the forms on the page Residence permit or certificate due to exploitation by employer.,['You'],instance of,"['Residence', 'permit']","['of', ['employer.']]",You,Residence  permit,of  employer.
28,0,https://migri.fi/en/disclosure-of-data-for-scientific-research-purposes,Submit a data protection impact assessment or a code of conduct in writing to the Office of the Data Protection Ombudsman and to the Finnish Immigration Service before the application is reviewed.,['Data'],subclass of,['Ombudsman'],"['of', ['Finnish']]",Data,Ombudsman,of  Finnish
29,0,https://migri.fi/en/legislation,You can also use the extensive search facilities available on EUR-Lex.,['EUR-Lex.'],instance of,['search'],"['of', ['You']]",EUR-Lex.,search,of  You
30,0,https://migri.fi/en/informing-of-the-decision,"When the Finnish Immigration Service has made a decision on your asylum application, you will be informed about it by the Finnish Immigration Service or the police.","['Finnish', 'Immigration', 'Service']",subclass of,['asylum'],"['together with', ['Finnish']]",Finnish  Immigration  Service,asylum,together with  Finnish
31,0,https://migri.fi/en/positive-decision,"If the Finnish Immigration Service grants you a residence permit or international protection, you will get a residence permit card.",['card.'],subclass of,"['residence', 'permit']","['of', ['Finnish']]",card.,residence  permit,of  Finnish
